"","x"
"2142","0"
"2143","0"
"2144","1"
"2145","0"
"2146","0"
"2147","1"
"2148","1"
"2149","1"
"2150","1"
"2151","0"
"2152","0"
"2153","0"
"2154","1"
"2155","1"
"2156","1"
"2157","1"
"2158","0"
"2159","0"
"2160","0"
"2161","0"
"2162","0"
"2163","1"
"2164","0"
"2165","1"
"2166","0"
"2167","0"
"2168","0"
"2169","2"
"2170","1"
"2171","1"
"2172","2"
"2173","2"
"2174","1"
"2175","1"
"2176","0"
"2177","1"
"2178","0"
"2179","2"
"2180","1"
"2181","0"
"2182","0"
"2183","1"
"2184","1"
"2185","0"
"2186","0"
"2187","1"
"2188","0"
"2189","0"
"2190","1"
"2191","2"
"2192","1"
"2193","0"
"2194","0"
"2195","2"
"2196","1"
"2197","2"
"2198","1"
"2199","0"
"2200","0"
"2201","0"
"2202","0"
"2203","0"
"2204","0"
"2205","1"
"2206","0"
"2207","0"
"2208","2"
"2209","1"
"2210","0"
"2211","2"
"2212","0"
"2213","0"
"2214","1"
"2215","2"
"2216","1"
"2217","0"
"2218","1"
"2219","1"
"2220","0"
"2221","0"
"2222","0"
"2223","0"
"2224","1"
"2225","1"
"2226","0"
"2227","1"
"2228","1"
"2229","0"
"2230","1"
"2231","1"
"2232","0"
"2233","1"
"2234","1"
"2235","1"
"2236","2"
"2237","1"
"2238","1"
"2239","1"
"2240","2"
"2241","1"
"2242","1"
"2243","0"
"2244","0"
"2245","0"
"2246","2"
"2247","1"
"2248","1"
"2249","0"
"2250","1"
"2251","1"
"2252","1"
"2253","0"
"2254","0"
"2255","0"
"2256","1"
"2257","2"
"2258","0"
"2259","1"
"2260","2"
"2261","2"
"2262","0"
"2263","2"
"2264","0"
"2265","1"
"2266","0"
"2267","0"
"2268","2"
"2269","0"
"2270","0"
"2271","0"
"2272","0"
"2273","0"
"2274","1"
"2275","0"
"2276","0"
"2277","1"
"2278","0"
"2279","1"
"2280","1"
"2281","0"
"2282","0"
"2283","0"
"2284","0"
"2285","0"
"2286","1"
"2287","1"
"2288","1"
"2289","1"
"2290","1"
"2291","1"
"2292","2"
"2293","0"
"2294","1"
"2295","1"
"2296","0"
"2297","1"
"2298","0"
"2299","1"
"2300","0"
"2301","1"
"2302","0"
"2303","1"
"2304","0"
"2305","0"
"2306","1"
"2307","2"
"2308","0"
"2309","0"
"2310","1"
"2311","2"
"2312","1"
"2313","1"
"2314","0"
"2315","1"
"2316","0"
"2317","1"
"2318","0"
"2319","1"
"2320","0"
"2321","2"
"2322","0"
"2323","0"
"2324","1"
"2325","0"
"2326","0"
"2327","0"
"2328","0"
"2329","2"
"2330","0"
"2331","1"
"2332","0"
"2333","0"
"2334","2"
"2335","1"
"2336","0"
"2337","0"
"2338","0"
"2339","2"
"2340","1"
"2341","1"
"2342","2"
"2343","1"
"2344","2"
"2345","0"
"2346","0"
"2347","0"
"2348","1"
"2349","0"
"2350","1"
"2351","1"
"2352","0"
"2353","1"
"2354","1"
"2355","1"
"2356","0"
"2357","0"
"2358","1"
"2359","1"
"2360","1"
"2361","0"
"2362","2"
"2363","0"
"2364","0"
"2365","0"
"2366","2"
"2367","2"
"2368","1"
"2369","1"
"2370","2"
"2371","0"
"2372","1"
"2373","0"
"2374","0"
"2375","1"
"2376","2"
"2377","2"
"2378","0"
"2379","1"
"2380","1"
"2381","2"
"2382","1"
"2383","1"
"2384","1"
"2385","1"
"2386","2"
"2387","1"
"2388","2"
"2389","2"
"2390","2"
"2391","0"
"2392","2"
"2393","1"
"2394","1"
"2395","1"
"2396","2"
"2397","0"
"2398","0"
"2399","2"
"2400","0"
"2401","2"
"2402","2"
"2403","1"
"2404","0"
"2405","0"
"2406","1"
"2407","1"
"2408","1"
"2409","1"
"2410","1"
"2411","1"
"2412","1"
"2413","0"
"2414","0"
"2415","0"
"2416","0"
"2417","1"
"2418","2"
"2419","0"
"2420","0"
"2421","0"
"2422","1"
"2423","2"
"2424","0"
"2425","0"
"2426","0"
"2427","0"
"2428","1"
"2429","0"
"2430","1"
"2431","1"
"2432","0"
"2433","1"
"2434","0"
"2435","1"
"2436","1"
"2437","1"
"2438","1"
"2439","0"
"2440","2"
"2441","2"
"2442","1"
"2443","2"
"2444","0"
"2445","0"
"2446","1"
"2447","1"
"2448","1"
"2449","0"
"2450","0"
"2451","0"
"2452","1"
"2453","0"
"2454","1"
"2455","0"
"2456","2"
"2457","0"
"2458","0"
"2459","2"
"2460","2"
"2461","1"
"2462","0"
"2463","0"
"2464","2"
"2465","0"
"2466","2"
"2467","0"
"2468","0"
"2469","1"
"2470","0"
"2471","0"
"2472","1"
"2473","2"
"2474","1"
"2475","1"
"2476","0"
"2477","1"
"2478","1"
"2479","0"
"2480","1"
"2481","0"
"2482","1"
"2483","1"
"2484","1"
"2485","1"
"2486","2"
"2487","1"
"2488","0"
"2489","1"
"2490","2"
"2491","0"
"2492","0"
"2493","1"
"2494","1"
"2495","2"
"2496","0"
"2497","2"
"2498","1"
"2499","2"
"2500","1"
"2501","2"
"2502","0"
"2503","2"
"2504","2"
"2505","1"
"2506","0"
"2507","1"
"2508","1"
"2509","0"
"2510","0"
"2511","0"
"2512","0"
"2513","1"
"2514","1"
"2515","2"
"2516","0"
"2517","2"
"2518","1"
"2519","1"
"2520","0"
"2521","0"
"2522","0"
"2523","1"
"2524","0"
"2525","1"
"2526","1"
"2527","0"
"2528","0"
"2529","1"
"2530","1"
"2531","2"
"2532","1"
"2533","0"
"2534","0"
"2535","0"
"2536","0"
"2537","0"
"2538","2"
"2539","0"
"2540","0"
"2541","2"
"2542","1"
"2543","2"
"2544","2"
"2545","2"
"2546","0"
"2547","1"
"2548","2"
"2549","1"
"2550","0"
"2551","2"
"2552","0"
"2553","2"
"2554","2"
"2555","2"
"2556","1"
"2557","1"
"2558","0"
"2559","2"
"2560","2"
"2561","1"
"2562","0"
"2563","1"
"2564","2"
"2565","2"
"2566","0"
"2567","1"
"2568","0"
"2569","0"
"2570","0"
"2571","1"
"2572","2"
"2573","2"
"2574","1"
"2575","1"
"2576","1"
"2577","2"
"2578","0"
"2579","1"
"2580","1"
"2581","0"
"2582","2"
"2583","1"
"2584","2"
"2585","0"
"2586","0"
"2587","0"
"2588","2"
"2589","2"
"2590","0"
"2591","0"
"2592","1"
"2593","1"
"2594","2"
"2595","1"
"2596","1"
"2597","1"
"2598","1"
"2599","1"
"2600","0"
"2601","0"
"2602","1"
"2603","0"
"2604","1"
"2605","0"
"2606","0"
"2607","0"
"2608","0"
"2609","1"
"2610","0"
"2611","0"
"2612","0"
"2613","0"
"2614","1"
"2615","1"
"2616","0"
"2617","1"
"2618","1"
"2619","2"
"2620","0"
"2621","1"
"2622","1"
"2623","0"
"2624","1"
"2625","0"
"2626","0"
"2627","1"
"2628","1"
"2629","0"
"2630","1"
"2631","1"
"2632","0"
"2633","1"
"2634","0"
"2635","1"
"2636","2"
"2637","2"
"2638","1"
"2639","0"
"2640","2"
"2641","2"
"2642","1"
"2643","1"
"2644","0"
"2645","0"
"2646","2"
"2647","1"
"2648","0"
"2649","2"
"2650","2"
"2651","0"
"2652","1"
"2653","0"
"2654","1"
"2655","1"
"2656","0"
"2657","1"
"2658","0"
"2659","0"
"2660","0"
"2661","1"
"2662","1"
"2663","2"
"2664","2"
"2665","1"
"2666","0"
"2667","0"
"2668","1"
"2669","2"
"2670","0"
"2671","2"
"2672","1"
"2673","0"
"2674","0"
"2675","1"
"2676","0"
"2677","1"
"2678","1"
"2679","1"
"2680","0"
"2681","0"
"2682","0"
"2683","1"
"2684","1"
"2685","1"
"2686","1"
"2687","1"
"2688","1"
"2689","1"
"2690","0"
"2691","0"
"2692","1"
"2693","0"
"2694","0"
"2695","0"
"2696","0"
"2697","0"
"2698","0"
"2699","2"
"2700","1"
"2701","0"
"2702","1"
"2703","1"
"2704","0"
"2705","1"
"2706","1"
"2707","1"
"2708","0"
"2709","0"
"2710","1"
"2711","0"
"2712","1"
"2713","0"
"2714","0"
"2715","0"
"2716","2"
"2717","1"
"2718","2"
"2719","1"
"2720","1"
"2721","1"
"2722","0"
"2723","2"
"2724","0"
"2725","2"
"2726","0"
"2727","1"
"2728","1"
"2729","1"
"2730","0"
"2731","0"
"2732","2"
"2733","1"
"2734","1"
"2735","0"
"2736","0"
"2737","0"
"2738","0"
"2739","0"
"2740","1"
"2741","1"
"2742","1"
"2743","0"
"2744","1"
"2745","2"
"2746","0"
"2747","1"
"2748","1"
"2749","1"
"2750","1"
"2751","0"
"2752","2"
"2753","1"
"2754","0"
"2755","1"
"2756","0"
"2757","1"
"2758","0"
"2759","1"
"2760","0"
"2761","1"
"2762","1"
"2763","1"
"2764","0"
"2765","0"
"2766","1"
"2767","0"
"2768","1"
"2769","2"
"2770","1"
"2771","0"
"2772","0"
"2773","1"
"2774","0"
"2775","0"
"2776","0"
"2777","0"
"2778","1"
"2779","1"
"2780","2"
"2781","1"
"2782","2"
"2783","1"
"2784","1"
"2785","0"
"2786","1"
"2787","1"
"2788","1"
"2789","1"
"2790","1"
"2791","1"
"2792","2"
"2793","0"
"2794","0"
"2795","1"
"2796","0"
"2797","1"
"2798","1"
"2799","1"
"2800","2"
"2801","0"
"2802","1"
"2803","1"
"2804","2"
"2805","0"
"2806","0"
"2807","1"
"2808","1"
"2809","2"
"2810","0"
"2811","0"
"2812","2"
"2813","1"
"2814","0"
"2815","0"
"2816","1"
"2817","1"
"2818","1"
"2819","2"
"2820","0"
"2821","0"
"2822","0"
"2823","1"
"2824","0"
"2825","1"
"2826","0"
"2827","1"
"2828","0"
"2829","1"
"2830","1"
"2831","0"
"2832","1"
"2833","0"
"2834","1"
"2835","0"
"2836","1"
"2837","1"
"2838","0"
"2839","2"
"2840","0"
"2841","0"
"2842","2"
"2843","0"
"2844","1"
"2845","0"
"2846","1"
"2847","0"
"2848","2"
"2849","0"
"2850","0"
"2851","0"
"2852","1"
"2853","1"
"2854","0"
"2855","0"
"2856","0"
"2857","0"
"2858","1"
"2859","1"
"2860","1"
"2861","0"
"2862","0"
"2863","0"
"2864","1"
"2865","1"
"2866","1"
"2867","0"
"2868","1"
"2869","1"
"2870","0"
"2871","1"
"2872","0"
"2873","1"
"2874","1"
"2875","1"
"2876","1"
"2877","1"
"2878","0"
"2879","1"
"2880","2"
"2881","1"
"2882","1"
"2883","2"
"2884","1"
"2885","0"
"2886","0"
"2887","1"
"2888","1"
"2889","0"
"2890","0"
"2891","0"
"2892","1"
"2893","1"
"2894","0"
"2895","2"
"2896","2"
"2897","0"
"2898","0"
"2899","0"
"2900","0"
"2901","0"
"2902","1"
"2903","1"
"2904","1"
"2905","1"
"2906","2"
"2907","1"
"2908","1"
"2909","2"
"2910","2"
"2911","1"
"2912","0"
"2913","0"
"2914","1"
"2915","0"
"2916","2"
"2917","0"
"2918","1"
"2919","0"
"2920","2"
"2921","1"
"2922","0"
"2923","2"
"2924","0"
"2925","2"
"2926","1"
"2927","2"
"2928","1"
"2929","0"
"2930","0"
"2931","2"
"2932","0"
"2933","0"
"2934","1"
"2935","0"
"2936","0"
"2937","0"
"2938","0"
"2939","0"
"2940","2"
"2941","1"
"2942","1"
"2943","2"
"2944","1"
"2945","0"
"2946","0"
"2947","1"
"2948","1"
"2949","0"
"2950","0"
"2951","2"
"2952","0"
"2953","0"
"2954","1"
"2955","0"
"2956","2"
"2957","1"
"2958","1"
"2959","0"
"2960","1"
"2961","1"
"2962","1"
"2963","1"
"2964","0"
"2965","1"
"2966","1"
"2967","2"
"2968","1"
"2969","1"
"2970","0"
"2971","1"
"2972","0"
"2973","2"
"2974","2"
"2975","0"
"2976","1"
"2977","2"
"2978","1"
"2979","0"
"2980","0"
"2981","0"
"2982","0"
"2983","0"
"2984","0"
"2985","0"
"2986","0"
"2987","0"
"2988","0"
"2989","2"
"2990","2"
"2991","1"
"2992","1"
"2993","0"
"2994","1"
"2995","1"
"2996","0"
"2997","1"
"2998","2"
"2999","0"
"3000","0"
